win_disk(N);win_cpu(%);Labels
0;30,42;0
0;30,44;0
0;30,44;0
0;30,64;0
79,69;30,64;0
79,69;31,21;0
125;31,21;0
125;35,61;0
156,25;35,61;0
156,25;36,15;0
218,76;36,15;0
218,76;36,83;0
1043,19;36,83;0
1043,19;36,92;0
1093,77;36,92;0
1093,77;36,97;0
1390,7;37,78;0
1406,24;37,78;0
1406,24;37,83;0
1406,28;37,83;0
1406,28;38,18;0
1406,36;38,18;0
1406,36;38,22;0
1406,42;38,22;0
1406,42;38,26;0
1552,09;38,26;0
1552,09;38,43;0
1553,76;38,43;0
1553,76;38,55;0
1562,23;38,55;0
1718,85;39,47;0
1718,85;39,53;0
1934,72;39,53;0
1934,72;40,62;0
2031,18;40,62;0
2031,18;41,29;0
2031,26;41,29;0
2031,26;41,35;0
2031,28;41,35;0
2031,28;41,99;0
2187,26;41,99;0
2187,26;42,08;0
2436,55;42,08;0
2658,37;43,01;0
2809,31;43,01;0
2809,31;43,38;0
2812,21;43,38;0
2812,21;44,38;0
2963,07;44,38;0
2963,07;47,71;0
3085,7;47,71;0
3085,7;47,77;0
4656,63;47,77;0
4656,63;58,14;0
4663,82;58,14;0
4663,82;58,69;0
4699,37;58,69;0
4699,37;58,7;0
5404,81;58,7;0
5404,81;58,85;0
5782,16;58,85;0
5782,16;60,92;0
5938,26;60,92;0
5938,26;62,47;0
6210,5;62,47;0
6210,5;63,99;0
6444,22;63,99;0
6444,22;64,61;0
6874,02;64,61;0
6874,02;64,01;0
6874,25;65,01;0
6874,25;65,29;0
7027,07;75,29;0
7027,07;75,31;0
9319,77;75,31;0
9319,77;75,48;0
9688,94;75,48;0
9688,94;75,49;0
10311,98;85,49;0
10935;85,6;0
10935;85,74;0
10935,51;85,74;0
10935,51;85,78;0
10935,7;85,78;0
10935,7;85,85;0
10936,24;85,85;0
10936,24;85,92;0
10936,53;85,92;0
10936,53;85,94;0
10936,7;85,94;0
10936,7;86,47;0
10937,04;86,47;0
10937,04;86,63;0
10937,22;86,63;0
10937,22;86,65;0
10937,32;86,65;0
10937,32;86,92;0
10938,3;87,01;0
10938,48;87,01;0
10938,48;87,02;0
10938,8;87,02;0
10938,8;87,05;0
11560,91;87,05;0
11560,91;87,19;0
12172,39;87,19;0
12172,39;87,31;0
12178,35;87,31;0
12178,35;87,32;0
12249,99;87,32;0
12249,99;87,35;0
12497,52;87,35;0
12497,52;87,39;0
12499,89;87,95;0
12499,89;87,96;0
12500,18;87,96;0
12500,18;88,07;0
12500,93;88,07;0
12500,93;88,09;0
12501,06;88,09;0
12501,06;88,26;0
12501,2;88,26;0
12501,2;88,3;0
12501,58;88,3;0
12501,58;88,39;0
12502,04;88,39;0
12502,04;88,5;0
12511,98;88,5;0
12511,98;88,63;0
13922,87;88,63;0
13922,87;88,95;0
13991,47;88,95;0
13991,47;88,98;0
14053,35;88,98;0
14053,35;89,39;0
14061,34;89,86;0
14061,34;89,9;0
14062,39;89,9;0
14062,39;90,05;0
14063,62;90,05;0
14063,62;90,06;0
14063,74;90,06;0
14063,74;90,12;0
14063,91;90,12;0
14063,91;90,4;0
14064,79;90,4;0
14064,79;91,03;0
14065,14;91,03;0
14065,14;91,67;0
15445,54;91,67;0
15445,54;92,09;0
15524,76;92,09;0
15524,76;92,29;0
15526,25;92,29;0
15526,25;92,79;0
15534,04;92,79;0
15534,04;92,84;0
15561,01;93,26;0
15569,08;93,26;0
15569,08;93,5;0
15576,06;93,5;0
15576,06;93,62;0
15576,79;93,62;0
15576,79;93,64;0
15626,25;93,64;0
15626,25;94,3;0
15626,8;94,37;0
15626,8;94,37;0
15650,68;94,4;0
15650,68;94,4;0
15650,87;94,8;0
15650,87;94,8;0
15659,34;95,12;0
15659,34;95,12;0